state,startdate,enddate,grade,samplesize,population,rawpoll_clinton,rawpoll_trump
OH,10/27/2016,11/5/2016,C+,1151,lv,48,47
TN,11/1/2016,11/7/2016,C-,1433,lv,41,49
WA,11/1/2016,11/7/2016,C-,1451,lv,51,33
CO,10/26/2016,10/28/2016,B,997,lv,42,39
AZ,10/26/2016,10/28/2016,B,994,lv,42,44
IA,11/1/2016,11/3/2016,B,700,lv,41,44
NC,10/26/2016,10/28/2016,B,992,lv,48,45
CT,11/1/2016,11/7/2016,C-,1387,lv,52,36
MA,11/1/2016,11/7/2016,C-,1378,lv,56,30
NJ,11/1/2016,11/7/2016,C-,1377,lv,52,37
CO,11/2/2016,11/3/2016,B,605,lv,43,38
MO,11/1/2016,11/7/2016,C-,1368,lv,40,48
KS,10/26/2016,10/30/2016,A,624,lv,38,49
KY,11/1/2016,11/7/2016,C-,1315,lv,35,54
KS,11/1/2016,11/7/2016,C-,1311,lv,36,49
MN,11/1/2016,11/7/2016,C-,1292,lv,46,39
FL,11/5/2016,11/6/2016,C-,843,lv,48.4,46.4
OK,11/1/2016,11/7/2016,C-,1271,lv,32,57
NM,11/1/2016,11/3/2016,A,504,lv,45,40
NV,11/1/2016,11/4/2016,C,1100,lv,45.01,49.61
TX,10/31/2016,11/2/2016,B,700,lv,34.5,49.2
PA,10/27/2016,11/1/2016,A-,612,lv,48,43
MD,11/1/2016,11/7/2016,C-,1216,lv,59,28
NV,11/1/2016,11/7/2016,C-,1207,lv,45,43
NH,10/28/2016,11/2/2016,B,695,lv,44,44
AZ,10/28/2016,11/1/2016,,1113,lv,41,42
OH,10/31/2016,11/3/2016,,844,lv,40,43
CO,10/31/2016,11/3/2016,C,1150,lv,44.77,44.33
IN,11/1/2016,11/3/2016,B,600,lv,37,48
AL,11/1/2016,11/7/2016,C-,1131,lv,36,55
OH,10/27/2016,11/1/2016,A-,589,lv,41,46
VA,10/28/2016,10/30/2016,B,800,lv,49,45
PA,10/31/2016,11/1/2016,B-,681,lv,45,43
CO,10/28/2016,10/31/2016,B,750,lv,44,41
NH,10/20/2016,10/24/2016,A,768,lv,45,36
NJ,10/27/2016,11/2/2016,B,678,lv,51,40
NE,11/1/2016,11/7/2016,C-,988,lv,35,52
LA,11/1/2016,11/7/2016,C-,982,lv,38,52
ME,10/28/2016,10/30/2016,B,750,lv,46,42
IA,10/20/2016,10/26/2016,A-,791,lv,44,44
CO,10/28/2016,11/1/2016,,972,lv,44,37
VA,10/23/2016,10/30/2016,,712,lv,44,39
PA,10/26/2016,10/30/2016,B+,652,lv,49,38
AZ,10/28/2016,10/31/2016,B,700,lv,43,47
MN,10/22/2016,10/26/2016,A,656,lv,49,39
AR,11/1/2016,11/7/2016,C-,930,lv,32,56
TX,10/27/2016,10/29/2016,C+,980,lv,39.39,51.53
AK,11/3/2016,11/6/2016,B-,617,rv,41,44
VA,10/20/2016,10/26/2016,A-,749,lv,50,38
NV,10/28/2016,11/1/2016,,892,lv,45,38
NV,10/20/2016,10/24/2016,A,707,lv,43,43
TX,10/21/2016,10/22/2016,B,1031,lv,43,46
FL,10/20/2016,10/25/2016,B+,819,lv,43,39
AZ,11/4/2016,11/6/2016,,550,lv,44,47
KY,10/26/2016,10/28/2016,,811,lv,32,56
FL,10/25/2016,10/26/2016,B+,742,lv,48,44
NH,10/29/2016,11/1/2016,A-,500,lv,39,40
UT,10/30/2016,11/2/2016,A+,402,lv,31,37
GA,10/28/2016,10/31/2016,B,650,lv,42,51
NC,10/27/2016,11/1/2016,C,1150,lv,44.16,49.13
PA,10/30/2016,11/4/2016,A,405,lv,44,40
GA,10/25/2016,10/27/2016,A,683,rv,42,49
VT,10/24/2016,10/26/2016,B-,1052,lv,52,26
SC,10/30/2016,10/31/2016,,600,lv,36,47
ME,11/1/2016,11/7/2016,C-,779,lv,46,38
NH,10/31/2016,11/2/2016,B+,500,lv,41.8,42.2
PA,11/2/2016,11/3/2016,B-,504,lv,46,46
MI,11/6/2016,11/6/2016,D,1011,lv,47,41
ID,10/21/2016,10/23/2016,B,1023,lv,23,52
NC,10/23/2016,10/27/2016,B+,710,lv,42,41.2
NM,11/1/2016,11/7/2016,C-,749,lv,40,38
MI,11/3/2016,11/3/2016,,573,lv,44,44
PA,10/29/2016,11/1/2016,A+,403,lv,48,44
UT,10/29/2016,10/31/2016,C+,750,lv,31,42
NH,11/2/2016,11/6/2016,C+,525,lv,46,40
NC,11/2/2016,11/6/2016,C+,525,lv,49,43
PA,11/2/2016,11/6/2016,C+,525,lv,44,46
OH,11/2/2016,11/6/2016,C+,525,lv,44,43
NV,11/2/2016,11/6/2016,C+,525,lv,44,44
GA,10/20/2016,10/26/2016,A-,707,lv,43,44
MS,11/1/2016,11/7/2016,C-,719,lv,42,50
FL,11/2/2016,11/6/2016,C+,525,lv,47,45
GA,10/17/2016,10/20/2016,A-,839,lv,42,44
NH,11/1/2016,11/7/2016,C-,696,lv,47,38
MO,10/28/2016,10/31/2016,A+,405,lv,38,52
IA,11/1/2016,11/3/2016,B-,500,lv,44.2,43.4
ME,10/20/2016,10/25/2016,B+,670,lv,48,37
NH,10/31/2016,11/2/2016,C+,600,lv,43,48
VA,10/29/2016,11/1/2016,C+,654,lv,45,38
MO,10/24/2016,10/26/2016,B+,625,lv,42,47
NC,10/26/2016,10/27/2016,B,650,lv,48,45
CO,10/29/2016,10/31/2016,,550,lv,39,39
IN,10/27/2016,10/30/2016,A+,402,lv,39,50
ID,11/1/2016,11/7/2016,C-,612,lv,29,47
WI,10/31/2016,11/1/2016,B-,500,lv,43.9,37.9
UT,11/1/2016,11/3/2016,C+,500,lv,24,33
FL,10/22/2016,10/26/2016,C+,1028,lv,50.4,36.95
MO,10/27/2016,11/1/2016,B-,508,lv,38,47
KY,10/26/2016,10/28/2016,B,1004,a,24.8,38.2
FL,10/25/2016,10/30/2016,,718,lv,48,40
IL,10/16/2016,10/18/2016,,1200,lv,51.2,36.1
WA,11/4/2016,11/6/2016,,402,lv,51,36
CA,11/4/2016,11/6/2016,,401,lv,58,35
GA,11/2/2016,11/3/2016,C-,538,lv,44.7,48.5
AZ,11/4/2016,11/6/2016,,392,lv,45,47
CO,11/1/2016,11/2/2016,C,500,lv,44.1,37.6
IL,10/27/2016,10/30/2016,B,500,lv,53,41
AR,10/18/2016,10/25/2016,A-,585,lv,31.3,51.1
OH,10/24/2016,10/26/2016,C,1150,lv,44.15,48.54
NV,10/28/2016,11/1/2016,C,600,lv,45,45
NV,10/20/2016,10/23/2016,,800,lv,48,41
IL,10/26/2016,10/27/2016,B-,600,lv,45,34
NM,10/28/2016,11/1/2016,,567,lv,39,31
NV,11/4/2016,11/6/2016,,373,lv,42,42
OR,10/25/2016,10/29/2016,B,504,lv,41,34
FL,10/19/2016,10/19/2016,,1000,lv,44,41
KY,10/25/2016,10/30/2016,C+,602,lv,37,54
FL,10/25/2016,10/26/2016,C+,698,lv,42.4,45.7
MN,10/20/2016,10/22/2016,B+,625,lv,47,39
