state,startdate,enddate,grade,samplesize,population,rawpoll_clinton,rawpoll_trump
WV,10/27/2016,11/2/2016,C-,330,lv,27,59
MS,10/7/2016,10/27/2016,A-,161,lv,33.21,51.84
VA,8/9/2016,8/16/2016,A-,808,lv,45,34
MA,10/29/2016,11/4/2016,C-,1188,lv,55,29
HI,10/24/2016,10/30/2016,C-,437,lv,52,31
GA,10/27/2016,11/2/2016,A-,423,lv,43.25,48.41
NE,10/7/2016,10/27/2016,A-,196,lv,35.45,49.98
NC,10/27/2016,11/2/2016,A-,348,lv,46.81,48.61
CO,10/7/2016,10/20/2016,A-,445,lv,45.01,41.24
KY,10/29/2016,11/4/2016,C-,1079,lv,36,54
KS,9/30/2016,10/20/2016,A-,349,lv,37.87,50.29
VA,10/20/2016,10/28/2016,C-,2518,lv,49,39
SD,10/18/2016,10/26/2016,C-,418,lv,32,53
IL,10/27/2016,11/2/2016,A-,503,lv,50.68,39.83
AR,10/28/2016,11/3/2016,C-,696,lv,34,55
MT,10/15/2016,10/19/2016,B,125,lv,38.19,34.88
UT,10/29/2016,11/4/2016,C-,1406,lv,30,34
MI,10/20/2016,10/24/2016,B,596,lv,38.94,32.42
ID,10/27/2016,11/2/2016,C-,442,lv,30,49
GA,9/21/2016,9/22/2016,B,600,lv,42.9,46.5
ND,10/24/2016,10/30/2016,C-,260,lv,32,55
NE,10/20/2016,10/28/2016,C-,440,lv,32,53
UT,10/20/2016,10/28/2016,C-,1080,lv,30,33
CT,10/29/2016,11/4/2016,C-,1114,lv,51,37
WI,10/20/2016,10/24/2016,B,763,lv,41.78,27.01
LA,10/20/2016,10/28/2016,C-,418,lv,37,54
TN,10/29/2016,11/4/2016,C-,1223,lv,41,49
IL,8/1/2016,8/4/2016,C+,800,lv,51,32
PA,10/27/2016,11/2/2016,A-,501,lv,47.57,44.89
NH,10/26/2016,11/1/2016,C-,635,lv,49,35
NJ,10/29/2016,11/4/2016,C-,1119,lv,53,37
MO,10/29/2016,11/4/2016,C-,1059,lv,41,48
NC,10/20/2016,10/24/2016,B,573,lv,35.52,39.6
SD,9/23/2016,10/13/2016,A-,105,lv,34.02,48.01
NV,9/16/2016,9/18/2016,C+,800,lv,39,42
MO,10/20/2016,10/28/2016,C-,721,lv,37,48
FL,9/28/2016,9/29/2016,C-,619,lv,46.6,46.3
WV,10/18/2016,10/26/2016,C-,410,lv,29,60
CO,8/29/2016,8/31/2016,C,500,lv,41,36
NV,10/8/2016,10/16/2016,C-,884,lv,40,44
NY,10/27/2016,11/2/2016,A-,575,lv,53.13,37.14
MI,10/30/2016,10/30/2016,D,953,lv,47,41
MI,7/13/2016,7/15/2016,B,1201,lv,42,39
KS,10/28/2016,11/3/2016,C-,1162,lv,36,49
MA,10/20/2016,10/28/2016,C-,780,lv,60,29
IN,10/7/2016,10/20/2016,A-,354,lv,38.42,49.04
NY,10/14/2016,10/20/2016,A-,346,lv,53.73,30.1
WA,10/29/2016,11/4/2016,C-,1205,lv,52,34
MS,10/26/2016,11/1/2016,C-,623,lv,41,47
VT,10/24/2016,10/30/2016,C-,422,lv,51,25
VA,10/27/2016,11/2/2016,A-,543,lv,48.05,42.13
SC,10/29/2016,11/4/2016,C-,1683,lv,43,46
LA,9/30/2016,10/20/2016,A-,459,lv,35.5,51.46
DC,10/10/2016,10/14/2016,B,62,lv,58.06,21.25
IL,10/20/2016,10/28/2016,C-,1162,lv,51,34
MT,10/24/2016,10/30/2016,C-,382,lv,38,48
NJ,10/27/2016,11/2/2016,A-,551,lv,46.94,37.7
AK,10/25/2016,10/31/2016,C-,300,lv,38,46
VA,8/24/2016,8/28/2016,B,801,lv,43,41
NJ,10/20/2016,10/28/2016,C-,734,lv,54,34
AL,9/30/2016,10/20/2016,A-,482,lv,38.4,52.39
IN,8/1/2016,8/3/2016,,600,lv,44,44
NE,10/28/2016,11/3/2016,C-,707,lv,35,51
OR,10/29/2016,11/4/2016,C-,1415,lv,51,35
SC,9/30/2016,10/20/2016,A-,304,lv,43.67,50.89
NH,9/3/2016,9/5/2016,B,600,lv,42,37
AK,10/26/2016,11/1/2016,C-,268,lv,37,46
WV,10/26/2016,11/1/2016,C-,318,lv,29,55
MT,9/30/2016,10/20/2016,A-,109,lv,31.74,50.8
OH,10/27/2016,11/2/2016,A-,545,lv,46.21,45.98
TX,10/14/2016,10/20/2016,A-,405,lv,39.04,52.23
MN,10/7/2016,10/20/2016,A-,499,lv,44.14,32.36
KS,10/15/2016,10/19/2016,B,286,lv,38.59,29.67
NV,9/30/2016,10/20/2016,A-,292,lv,47.68,43.43
GA,8/10/2016,8/12/2016,B,988,lv,41,45
NH,10/18/2016,10/26/2016,C-,861,lv,49,35
NH,10/25/2016,10/31/2016,C-,659,lv,48,35
NV,10/28/2016,11/3/2016,C-,1016,lv,43,44
AL,10/20/2016,10/28/2016,C-,479,lv,36,53
WA,10/20/2016,10/28/2016,C-,793,lv,52,34
NJ,10/20/2016,10/24/2016,B,813,lv,43.94,28.62
KY,10/15/2016,10/19/2016,B,398,lv,33.15,43.68
AR,9/30/2016,10/20/2016,A-,283,lv,34.43,52.7
SC,10/15/2016,10/19/2016,B,387,lv,29.2,45.11
IA,10/29/2016,11/4/2016,C-,1604,lv,37,47
IA,10/20/2016,10/28/2016,C-,1177,lv,41,44
ME,10/27/2016,11/2/2016,C-,529,lv,47,38
MN,10/20/2016,10/28/2016,C-,694,lv,47,37
IA,9/30/2016,10/20/2016,A-,363,lv,45.62,42.61
NM,10/18/2016,10/26/2016,C-,1175,lv,42,34
DE,9/30/2016,10/20/2016,A-,121,lv,47.83,33.89
TX,10/27/2016,11/2/2016,A-,688,lv,39.31,49.09
OK,9/30/2016,10/20/2016,A-,381,lv,36.08,51.27
OH,8/25/2016,8/27/2016,B,800,lv,42.5,43.4
NH,10/10/2016,10/14/2016,B,71,lv,47.86,23.29
MS,10/25/2016,10/31/2016,C-,648,lv,41,48
LA,10/28/2016,11/3/2016,C-,646,lv,37,52
NH,9/30/2016,10/20/2016,A-,179,lv,45.11,39.21
IA,10/15/2016,10/19/2016,B,424,lv,34.22,32.63
CT,10/15/2016,10/19/2016,B,344,lv,40.38,33.37
NM,9/30/2016,10/20/2016,A-,150,lv,51.28,35.11
ND,10/10/2016,10/14/2016,B,72,lv,17.11,41.53
WI,10/7/2016,10/20/2016,A-,470,lv,45.38,41.86
ME,9/15/2016,9/17/2016,C,835,lv,37,36.7
CT,9/30/2016,10/20/2016,A-,437,lv,52.56,34.83
MS,10/18/2016,10/26/2016,C-,800,lv,42,50
HI,10/10/2016,10/14/2016,B,66,lv,51.35,20.4
WV,10/10/2016,10/14/2016,B,115,lv,23.1,58.73
NM,10/24/2016,10/30/2016,C-,892,lv,45,33
ID,9/30/2016,10/20/2016,A-,171,lv,35.13,50.7
MN,10/28/2016,11/3/2016,C-,1055,lv,47,37
WV,10/25/2016,10/31/2016,C-,321,lv,27,58
DE,10/10/2016,10/14/2016,B,93,lv,41.18,28.45
ID,10/25/2016,10/31/2016,C-,447,lv,31,49
AK,10/24/2016,10/30/2016,C-,294,lv,39,47
AL,10/15/2016,10/19/2016,B,445,lv,23.68,53.37
SD,10/26/2016,11/1/2016,C-,281,lv,27,52
OR,10/15/2016,10/19/2016,B,470,lv,47.73,23.55
MS,9/30/2016,10/20/2016,A-,171,lv,37.3,52.08
DE,7/20/2016,7/24/2016,A,715,rv,42,32
UT,10/28/2016,11/3/2016,C-,1327,lv,30,33
IN,10/29/2016,11/4/2016,C-,1253,lv,35,53
ID,10/18/2016,10/26/2016,C-,500,lv,29,49
MA,10/7/2016,10/20/2016,A-,476,lv,57,25.36
MO,9/30/2016,10/13/2016,A-,433,lv,36.11,48.21
OH,10/20/2016,10/24/2016,B,832,lv,31.5,37.21
CA,10/14/2016,10/20/2016,A-,503,lv,63.82,25.62
ID,10/26/2016,11/1/2016,C-,394,lv,32,47
OK,10/20/2016,10/28/2016,C-,528,lv,30,57
MD,10/28/2016,11/3/2016,C-,851,lv,62,27
PA,10/17/2016,10/24/2016,C+,875,lv,45,40
NC,10/17/2016,10/24/2016,C+,875,lv,46,43
OH,10/17/2016,10/24/2016,C+,875,lv,42,44
KS,10/27/2016,11/2/2016,C-,1123,lv,37,48
IL,10/29/2016,11/4/2016,C-,1397,lv,53,36
VT,10/10/2016,10/14/2016,B,71,lv,65.93,10.76
SD,10/25/2016,10/31/2016,C-,298,lv,27,53
CA,10/27/2016,11/2/2016,A-,733,lv,59.58,30.7
NE,9/30/2016,10/20/2016,A-,207,lv,34.73,46.81
VA,10/29/2016,11/4/2016,C-,2183,lv,49,39
OK,10/28/2016,11/3/2016,C-,905,lv,32,56
CO,9/22/2016,9/23/2016,B-,799,rv,37,41
ME,9/30/2016,10/20/2016,A-,202,lv,47.76,38.69
TN,10/15/2016,10/19/2016,B,401,lv,26.92,44.64
FL,10/17/2016,10/24/2016,C+,875,lv,46,43
AL,10/28/2016,11/3/2016,C-,722,lv,36,52
SD,10/10/2016,10/14/2016,B,91,lv,28.56,38.29
NH,10/24/2016,10/30/2016,C-,635,lv,46,36
VA,7/9/2016,7/12/2016,A,601,rv,39,34
CT,10/20/2016,10/28/2016,C-,568,lv,51,38
WY,10/17/2016,10/25/2016,C-,361,lv,25,59
AK,10/10/2016,10/14/2016,B,71,lv,34.6,29.98
IA,10/8/2016,10/16/2016,C-,1135,lv,40,45
AR,10/27/2016,11/2/2016,C-,593,lv,36,53
MS,10/24/2016,10/30/2016,C-,635,lv,42,47
MA,10/28/2016,11/3/2016,C-,1004,lv,56,29
GA,10/29/2016,11/4/2016,C-,2568,lv,45,45
SC,10/28/2016,11/3/2016,C-,1583,lv,43,47
NY,10/29/2016,11/4/2016,C-,2131,lv,58,32
MD,9/30/2016,10/13/2016,A-,487,lv,53.72,31.56
MA,10/15/2016,10/19/2016,B,485,lv,48.34,23.72
KY,9/30/2016,10/20/2016,A-,458,lv,41.04,51.6
IL,10/20/2016,10/24/2016,B,1053,lv,37.07,30.39
TX,10/20/2016,10/24/2016,B,1026,lv,30.24,43.55
TN,10/28/2016,11/3/2016,C-,1063,lv,41,49
IN,10/20/2016,10/28/2016,C-,740,lv,36,50
MT,9/23/2016,10/13/2016,A-,139,lv,33.91,54.15
ME,10/10/2016,10/14/2016,B,82,lv,42.77,25.71
OR,9/30/2016,10/20/2016,A-,644,lv,46.28,37.24
RI,10/10/2016,10/14/2016,B,45,lv,57.33,13.05
NV,10/27/2016,11/2/2016,C-,937,lv,43,44
PA,10/20/2016,10/24/2016,B,839,lv,39.02,38.79
KS,10/26/2016,11/1/2016,C-,1164,lv,37,48
GA,10/20/2016,10/28/2016,C-,2433,lv,44,45
NJ,10/28/2016,11/3/2016,C-,943,lv,55,37
PA,10/16/2016,10/23/2016,C+,875,lv,45,41
NC,10/16/2016,10/23/2016,C+,875,lv,47,41
OH,10/16/2016,10/23/2016,C+,875,lv,42,43
CT,10/28/2016,11/3/2016,C-,925,lv,52,38
WY,10/10/2016,10/14/2016,B,61,lv,16.58,51.9
FL,10/14/2016,10/20/2016,A-,631,lv,48.01,44.38
GA,10/7/2016,10/20/2016,A-,523,lv,40.91,49.4
MO,10/28/2016,11/3/2016,C-,879,lv,39,49
GA,10/28/2016,11/3/2016,C-,2872,lv,44,46
WI,10/29/2016,11/4/2016,C-,1869,lv,44,43
NY,10/20/2016,10/28/2016,C-,1630,lv,57,32
NY,10/20/2016,10/24/2016,B,1089,lv,43.97,29.08
KS,10/18/2016,10/26/2016,C-,1842,lv,36,48
FL,10/16/2016,10/23/2016,C+,875,lv,46,41
IA,10/28/2016,11/3/2016,C-,1469,lv,37,47
WI,10/20/2016,10/28/2016,C-,1338,lv,43,42
TN,9/30/2016,10/13/2016,A-,541,lv,34.58,47.28
WV,10/24/2016,10/30/2016,C-,294,lv,27,59
KY,10/28/2016,11/3/2016,C-,843,lv,35,55
MD,10/15/2016,10/19/2016,B,414,lv,49.12,25.44
VA,7/5/2016,7/11/2016,A,876,rv,41,34
FL,10/27/2016,11/2/2016,A-,896,lv,46.68,47.07
NJ,10/7/2016,10/20/2016,A-,795,lv,52.66,31.71
KS,10/25/2016,10/31/2016,C-,1273,lv,36,47
IA,7/5/2016,7/10/2016,A,822,rv,37,37
NE,10/27/2016,11/2/2016,C-,599,lv,34,50
ID,10/10/2016,10/14/2016,B,161,lv,23.38,33.65
MT,10/10/2016,10/14/2016,B,141,lv,27.78,28.31
TN,10/20/2016,10/28/2016,C-,565,lv,38,51
VA,10/7/2016,10/20/2016,A-,685,lv,49.04,37.04
PA,10/20/2016,10/28/2016,C-,2512,lv,47,42
NV,10/26/2016,11/1/2016,C-,994,lv,42,43
ID,10/24/2016,10/30/2016,C-,407,lv,31,49
AZ,10/20/2016,10/28/2016,C-,1747,lv,42,43
GA,10/15/2016,10/19/2016,B,551,lv,33.26,42.1
WV,9/30/2016,10/20/2016,A-,129,lv,39.5,55.84
UT,10/27/2016,11/2/2016,C-,1247,lv,30,33
CA,10/20/2016,10/28/2016,C-,2431,lv,54,31
AZ,9/20/2016,9/22/2016,,550,lv,38,40
NC,9/18/2016,9/20/2016,B+,1024,lv,43,45
CO,9/30/2016,10/13/2016,A-,561,lv,46.61,40.89
DC,10/17/2016,10/25/2016,C-,504,lv,88,5
SD,9/16/2016,10/6/2016,A-,113,lv,35.73,45.45
GA,8/1/2016,8/4/2016,A-,847,rv,41,38
LA,10/27/2016,11/2/2016,C-,546,lv,37,51
CO,7/9/2016,7/12/2016,A,600,rv,37,28
WA,9/30/2016,10/13/2016,A-,602,lv,46.94,37.24
AZ,7/29/2016,7/29/2016,,679,lv,41.3,48.8
TX,10/20/2016,10/28/2016,C-,2377,lv,40,47
SD,10/24/2016,10/30/2016,C-,266,lv,29,55
CA,10/29/2016,11/4/2016,C-,2691,lv,56,30
MN,10/27/2016,11/2/2016,C-,928,lv,47,37
WA,10/28/2016,11/3/2016,C-,944,lv,53,34
IA,7/7/2016,7/8/2016,B-,1318,a,39,37
PA,8/29/2016,9/7/2016,A-,778,lv,44,39
FL,7/6/2016,7/10/2016,B-,1100,lv,45,40
GA,7/29/2016,7/31/2016,A,628,lv,42,46
MD,10/27/2016,11/2/2016,C-,772,lv,63,26
ME,10/26/2016,11/1/2016,C-,428,lv,49,37
KY,7/31/2016,8/1/2016,B-,500,rv,36,49
OR,10/28/2016,11/3/2016,C-,1150,lv,51,36
VA,10/28/2016,11/3/2016,C-,2073,lv,48,40
NV,10/10/2016,10/14/2016,B,253,lv,33.6,35.34
IN,9/30/2016,10/13/2016,A-,434,lv,38.27,47.14
KS,9/23/2016,10/13/2016,A-,382,lv,37.9,50.27
IL,10/7/2016,10/13/2016,A-,409,lv,60.31,27.44
DE,9/23/2016,10/13/2016,A-,135,lv,46.96,39.29
AR,10/10/2016,10/14/2016,B,189,lv,34.43,38.13
OH,10/20/2016,10/28/2016,C-,1980,lv,40,45
NV,9/23/2016,10/13/2016,A-,347,lv,40.77,38.73
MO,9/26/2016,9/27/2016,,1279,lv,39,49
FL,8/14/2016,8/18/2016,C+,1380,lv,51.7,37.7
OR,10/20/2016,10/28/2016,C-,658,lv,50,35
SC,10/27/2016,11/2/2016,C-,1501,lv,43,47
NE,10/10/2016,10/14/2016,B,217,lv,27.82,40.76
PA,10/29/2016,11/4/2016,C-,2691,lv,46,43
VT,7/11/2016,7/23/2016,B+,637,lv,39,17
VA,8/2/2016,8/5/2016,B,1181,lv,49,37
NV,10/25/2016,10/31/2016,C-,1010,lv,43,42
AZ,10/29/2016,11/4/2016,C-,2154,lv,44,43
VA,7/26/2016,7/27/2016,C+,655,rv,42,46
ID,9/23/2016,10/13/2016,A-,199,lv,31.26,54.18
WA,10/15/2016,10/19/2016,B,594,lv,45.72,25.4
AZ,8/2/2016,8/5/2016,B,1095,lv,42,44
DC,10/4/2016,10/9/2016,B,61,lv,57.9,15.1
IA,7/8/2016,7/11/2016,A+,401,lv,42,44
CO,10/20/2016,10/28/2016,C-,1731,lv,45,38
SC,9/23/2016,10/13/2016,A-,346,lv,45.97,48.85
NH,10/4/2016,10/9/2016,B,76,lv,56.62,17.43
MD,10/18/2016,10/26/2016,C-,1046,lv,62,27
AL,10/27/2016,11/2/2016,C-,621,lv,35,53
MI,10/25/2016,10/25/2016,D,1030,lv,48,42
CO,10/29/2016,11/4/2016,C-,2302,lv,43,40
ME,10/25/2016,10/31/2016,C-,432,lv,49,37
NY,10/28/2016,11/3/2016,C-,1949,lv,57,32
MS,9/23/2016,10/13/2016,A-,196,lv,41.16,48.59
AR,9/23/2016,10/13/2016,A-,314,lv,35.6,52.44
MA,10/27/2016,11/2/2016,C-,878,lv,57,29
WY,8/9/2016,9/1/2016,C-,727,rv,21,57
NY,10/7/2016,10/13/2016,A-,434,lv,52.61,26.67
WI,9/30/2016,10/13/2016,A-,622,lv,41.56,37.39
VA,10/15/2016,10/19/2016,B,644,lv,40.71,31.13
CA,10/20/2016,10/24/2016,B,1208,lv,47.86,23.83
ME,9/23/2016,10/13/2016,A-,244,lv,48.2,34.82
UT,9/1/2016,9/9/2016,C+,605,lv,24,39
MN,9/30/2016,10/13/2016,A-,611,lv,42.74,35.8
KY,10/20/2016,10/28/2016,C-,384,lv,30,61
CO,7/5/2016,7/11/2016,A,794,rv,39,33
TX,10/29/2016,11/4/2016,C-,2645,lv,42,47
DE,10/4/2016,10/9/2016,B,103,lv,40.37,28.34
OH,10/29/2016,11/4/2016,C-,2393,lv,42,46
IL,7/11/2016,7/12/2016,C+,,lv,46.4,32.5
AZ,10/15/2016,10/19/2016,B,629,lv,41.78,31.4
NE,9/23/2016,10/13/2016,A-,241,lv,33.32,48.55
PA,7/25/2016,7/27/2016,B+,500,lv,46,37
SC,10/26/2016,11/1/2016,C-,1588,lv,44,45
OK,10/27/2016,11/2/2016,C-,737,lv,32,56
OK,9/23/2016,10/13/2016,A-,432,lv,36,51.26
FL,10/20/2016,10/24/2016,B,911,lv,36.07,39.16
CO,10/15/2016,10/19/2016,B,600,lv,44.08,25.6
RI,10/4/2016,10/9/2016,B,51,lv,52.2,25.04
NV,8/2/2016,8/5/2016,B,993,lv,43,41
GA,10/27/2016,11/2/2016,C-,2722,lv,45,45
HI,10/4/2016,10/9/2016,B,67,lv,49.42,29.17
MS,10/10/2016,10/14/2016,B,212,lv,22.04,53.32
TN,10/27/2016,11/2/2016,C-,905,lv,41,50
IL,10/28/2016,11/3/2016,C-,1120,lv,52,37
NJ,10/27/2016,11/2/2016,C-,823,lv,54,38
IN,7/20/2016,7/21/2016,B,503,rv,36,50
KS,10/24/2016,10/30/2016,C-,1176,lv,36,47
AR,10/18/2016,10/26/2016,C-,570,lv,34,53
MO,10/27/2016,11/2/2016,C-,774,lv,39,48
NM,9/23/2016,10/13/2016,A-,157,lv,43.87,36.38
OK,10/10/2016,10/14/2016,B,216,lv,33.66,44.49
CT,9/23/2016,10/13/2016,A-,505,lv,53,36.07
ND,10/17/2016,10/25/2016,C-,339,lv,31,49
AR,10/26/2016,11/1/2016,C-,475,lv,38,52
SC,10/25/2016,10/31/2016,C-,1762,lv,43,45
MN,10/15/2016,10/19/2016,B,596,lv,35.95,28.73
NH,9/23/2016,10/13/2016,A-,184,lv,46.23,41.64
NC,10/29/2016,11/4/2016,C-,2765,lv,48,41
MA,9/30/2016,10/13/2016,A-,598,lv,54.07,28.57
OH,8/17/2016,8/19/2016,B,997,lv,46,40
DE,10/17/2016,10/25/2016,C-,528,lv,52,34
CO,7/9/2016,7/12/2016,A+,404,lv,48,35
LA,9/23/2016,10/13/2016,A-,473,lv,35.98,49.16
FL,8/17/2016,8/22/2016,C,608,lv,41,44
IA,9/23/2016,10/13/2016,A-,382,lv,44.74,44.49
NM,10/10/2016,10/14/2016,B,214,lv,40.3,22.32
MI,10/29/2016,11/4/2016,C-,2748,lv,44,42
IN,10/15/2016,10/19/2016,B,717,lv,35.95,33.04
LA,10/10/2016,10/14/2016,B,280,lv,25.82,49.54
ME,10/18/2016,10/26/2016,C-,410,lv,52,35
IN,10/28/2016,11/3/2016,C-,923,lv,35,52
MD,10/26/2016,11/1/2016,C-,695,lv,63,27
NC,10/15/2016,10/19/2016,B,648,lv,37.81,38.07
CT,10/27/2016,11/2/2016,C-,753,lv,52,38
VA,10/8/2016,10/16/2016,C-,1644,lv,49,38
CA,10/28/2016,11/3/2016,C-,2528,lv,56,29
VA,10/27/2016,11/2/2016,C-,1942,lv,48,40
MO,8/8/2016,8/9/2016,B+,947,lv,42,45
WV,9/23/2016,10/13/2016,A-,153,lv,40.71,53.95
WI,10/8/2016,10/16/2016,C-,1076,lv,43,38
WI,10/28/2016,11/3/2016,C-,1568,lv,45,43
LA,10/26/2016,11/1/2016,C-,470,lv,37,51
IA,10/27/2016,11/2/2016,C-,1226,lv,37,47
AR,10/25/2016,10/31/2016,C-,484,lv,39,52
SC,8/15/2016,8/17/2016,B-,768,rv,37,41
AK,10/17/2016,10/25/2016,C-,443,lv,31,46
NV,10/18/2016,10/26/2016,C-,1041,lv,44,44
MT,9/16/2016,10/6/2016,A-,149,lv,34.26,57.98
MD,10/25/2016,10/31/2016,C-,740,lv,63,27
MN,10/26/2016,11/1/2016,C-,805,lv,47,37
MO,10/15/2016,10/19/2016,B,587,lv,37.53,34.42
UT,10/26/2016,11/1/2016,C-,1057,lv,30,34
MI,10/15/2016,10/19/2016,B,637,lv,37.41,28.49
FL,10/7/2016,10/13/2016,A-,1019,lv,47.57,41.81
PA,9/23/2016,9/23/2016,B-,949,lv,46,43
WA,10/27/2016,11/2/2016,C-,807,lv,54,34
AL,9/23/2016,10/6/2016,A-,353,lv,36.51,56.76
PA,8/26/2016,8/27/2016,B+,1194,lv,48,43
RI,10/17/2016,10/25/2016,C-,488,lv,49,37
IA,7/13/2016,7/15/2016,B,998,lv,39,40
NC,10/20/2016,10/28/2016,C-,1797,lv,48,43
ME,10/24/2016,10/30/2016,C-,386,lv,50,38
SC,10/18/2016,10/26/2016,C-,2223,lv,43,45
NM,10/11/2016,10/11/2016,,1536,lv,46,36
MI,10/23/2016,10/23/2016,D,1241,lv,49,41
OR,7/9/2016,7/13/2016,C-,701,lv,43.1,39.7
TX,10/7/2016,10/13/2016,A-,422,lv,31.57,57
NE,10/18/2016,10/26/2016,C-,513,lv,32,51
PA,10/28/2016,11/3/2016,C-,2454,lv,46,43
MA,10/26/2016,11/1/2016,C-,797,lv,58,29
SC,10/24/2016,10/30/2016,C-,1764,lv,42,46
NV,10/24/2016,10/30/2016,C-,887,lv,43,43
GA,10/26/2016,11/1/2016,C-,2678,lv,44,45
MT,10/4/2016,10/9/2016,B,158,lv,32.1,40.84
KY,10/27/2016,11/2/2016,C-,635,lv,35,56
MO,9/23/2016,10/6/2016,A-,478,lv,37.05,48.7
MI,10/20/2016,10/28/2016,C-,1787,lv,44,41
FL,10/20/2016,10/28/2016,C-,3129,lv,47,44
KS,10/10/2016,10/14/2016,B,264,lv,45.87,26.74
MT,10/17/2016,10/25/2016,C-,475,lv,35,52
OR,10/27/2016,11/2/2016,C-,934,lv,51,36
NV,7/7/2016,7/10/2016,A+,408,lv,45,41
GA,9/30/2016,10/13/2016,A-,645,lv,41.51,50.04
NY,10/27/2016,11/2/2016,C-,1755,lv,58,32
CO,7/7/2016,7/9/2016,B-,500,lv,45,38
NE,10/26/2016,11/1/2016,C-,440,lv,33,52
VA,9/30/2016,10/13/2016,A-,884,lv,49.22,38.8
KY,9/23/2016,10/6/2016,A-,370,lv,37.27,57.06
UT,10/25/2016,10/31/2016,C-,1078,lv,30,33
ND,10/4/2016,10/9/2016,B,58,lv,13.34,63.29
IL,9/30/2016,10/6/2016,A-,601,lv,57.49,31.29
NY,9/30/2016,10/6/2016,A-,714,lv,54.76,31.07
FL,10/29/2016,11/4/2016,C-,3600,lv,47,45
VA,10/26/2016,11/1/2016,C-,1929,lv,49,39
IL,10/27/2016,11/2/2016,C-,997,lv,53,36
NJ,10/26/2016,11/1/2016,C-,719,lv,55,36
AL,10/26/2016,11/1/2016,C-,503,lv,37,52
TX,10/28/2016,11/3/2016,C-,2322,lv,42,47
HI,10/17/2016,10/25/2016,C-,459,lv,49,34
NY,8/4/2016,8/8/2016,B-,1717,rv,48,34
MN,10/25/2016,10/31/2016,C-,773,lv,46,37
CA,10/7/2016,10/13/2016,A-,553,lv,65.89,22.37
MA,10/25/2016,10/31/2016,C-,796,lv,58,29
AR,10/24/2016,10/30/2016,C-,446,lv,37,53
CO,10/28/2016,11/3/2016,C-,1927,lv,44,40
AZ,10/28/2016,11/3/2016,C-,1748,lv,44,43
MO,10/18/2016,10/26/2016,C-,797,lv,37,49
WI,10/15/2016,10/19/2016,B,725,lv,38.22,28.86
AK,10/4/2016,10/9/2016,B,60,lv,29.97,27.17
LA,10/18/2016,10/26/2016,C-,435,lv,38,53
MD,10/24/2016,10/30/2016,C-,696,lv,63,27
VA,10/25/2016,10/31/2016,C-,2089,lv,48,38
NJ,9/30/2016,10/13/2016,A-,953,lv,49.93,32.23
NH,7/19/2016,7/21/2016,,1166,rv,38.5,47.9
LA,10/25/2016,10/31/2016,C-,423,lv,38,51
MO,10/26/2016,11/1/2016,C-,649,lv,39,47
TN,10/10/2016,10/14/2016,B,406,lv,31.08,43
OH,10/28/2016,11/3/2016,C-,2004,lv,41,46
MD,9/23/2016,10/6/2016,A-,508,lv,53.07,31.74
GA,6/30/2016,7/6/2016,B+,600,lv,41,40
SC,10/10/2016,10/14/2016,B,344,lv,29.99,44.27
VT,10/17/2016,10/25/2016,C-,446,lv,54,23
FL,8/1/2016,8/3/2016,B+,500,lv,43.2,38.8
AZ,9/23/2016,10/6/2016,A-,617,lv,42.22,49.06
CA,10/27/2016,11/2/2016,C-,2316,lv,56,29
IN,10/27/2016,11/2/2016,C-,790,lv,36,51
SD,10/17/2016,10/25/2016,C-,377,lv,32,52
NJ,10/15/2016,10/19/2016,B,792,lv,41.22,32.52
NJ,10/25/2016,10/31/2016,C-,724,lv,55,35
GA,10/25/2016,10/31/2016,C-,2665,lv,44,46
IL,10/18/2016,10/26/2016,C-,1274,lv,52,34
AK,8/9/2016,9/1/2016,C-,989,rv,31,38
VA,10/18/2016,10/26/2016,C-,2739,lv,48,39
MI,10/28/2016,11/3/2016,C-,2362,lv,44,43
WV,10/17/2016,10/25/2016,C-,379,lv,29,61
RI,9/27/2016,10/3/2016,B,57,lv,44.76,28.48
MO,10/25/2016,10/31/2016,C-,671,lv,39,46
IA,10/18/2016,10/26/2016,C-,1337,lv,41,44
NE,10/25/2016,10/31/2016,C-,412,lv,32,52
ID,10/4/2016,10/9/2016,B,150,lv,24.82,32.89
DE,9/16/2016,10/6/2016,A-,131,lv,46.26,35.62
KY,10/10/2016,10/14/2016,B,328,lv,29.49,41.89
CT,9/9/2016,9/29/2016,A-,455,lv,52.01,34.09
TN,10/26/2016,11/1/2016,C-,702,lv,40,51
OR,9/23/2016,10/6/2016,A-,483,lv,51.33,36
ME,9/16/2016,10/6/2016,A-,266,lv,45.94,33.06
NC,10/28/2016,11/3/2016,C-,2292,lv,48,42
SD,9/9/2016,9/29/2016,A-,105,lv,31.67,46.8
DC,9/27/2016,10/3/2016,B,64,lv,62.21,9.8
NE,10/4/2016,10/9/2016,B,233,lv,26.88,39.06
AL,10/25/2016,10/31/2016,C-,485,lv,35,55
OH,10/15/2016,10/19/2016,B,865,lv,33.83,38.97
MA,10/18/2016,10/26/2016,C-,787,lv,60,29
CT,10/26/2016,11/1/2016,C-,616,lv,51,38
UT,10/18/2016,10/26/2016,C-,1069,lv,29,32
IA,10/10/2016,10/14/2016,B,359,lv,32.59,35.59
WA,10/26/2016,11/1/2016,C-,698,lv,54,34
MT,8/9/2016,9/1/2016,C-,999,rv,31,44
