CASEID,race,sex,earn2009,bmonth,byear,afqt,region_1979,faminc1978,hgc,nsibs79
5220,"NON-BLACK, NON-HISPANIC",MALE,0,12,1963,33.695,4,,14,2
5221,HISPANIC,MALE,55226.86,3,1957,8.837,4,24011.17,14,5
5222,HISPANIC,MALE,165680.6,2,1963,46.218,4,47281.3,14,4
5223,"NON-BLACK, NON-HISPANIC",MALE,,3,1959,81.232,4,79916.16,12,1
5224,"NON-BLACK, NON-HISPANIC",FEMALE,15463.52,8,1957,,4,,12,4
5225,"NON-BLACK, NON-HISPANIC",FEMALE,82840.28,12,1960,31.975,4,,12,4
5226,"NON-BLACK, NON-HISPANIC",MALE,146903.4,5,1958,83.80901,4,,16,3
5227,"NON-BLACK, NON-HISPANIC",MALE,58540.46,2,1957,45.579,4,54488.29,12,6
5228,"NON-BLACK, NON-HISPANIC",FEMALE,82840.28,12,1959,50.133,4,,17,6
5229,"NON-BLACK, NON-HISPANIC",MALE,41726.1,1,1961,31.929,4,82822.2,14,6
5230,"NON-BLACK, NON-HISPANIC",MALE,,6,1962,10.28,4,90813.81,12,2
5231,"NON-BLACK, NON-HISPANIC",FEMALE,1325.444,9,1962,13.348,4,16346.49,12,5
5232,"NON-BLACK, NON-HISPANIC",FEMALE,,10,1963,8.658999,4,16346.49,12,5
5233,"NON-BLACK, NON-HISPANIC",FEMALE,0,10,1962,50.171,4,,12,4
5234,"NON-BLACK, NON-HISPANIC",FEMALE,,6,1963,81.675,4,72651.05,,1
5235,"NON-BLACK, NON-HISPANIC",MALE,44181.48,1,1964,13.793,4,54488.29,13,3
5236,"NON-BLACK, NON-HISPANIC",FEMALE,,1,1959,85.912,4,,12,3
5237,"NON-BLACK, NON-HISPANIC",MALE,11045.37,7,1963,69.916,4,72651.05,12,2
5238,"NON-BLACK, NON-HISPANIC",MALE,29822.5,6,1964,21.71,4,56304.57,10,5
5239,"NON-BLACK, NON-HISPANIC",FEMALE,0,4,1958,11.864,4,,12,5
5240,"NON-BLACK, NON-HISPANIC",FEMALE,,8,1962,,4,,16,3
5241,"NON-BLACK, NON-HISPANIC",FEMALE,11597.64,4,1964,,4,,16,3
5242,HISPANIC,MALE,,1,1957,83.443,4,,,6
5243,HISPANIC,MALE,60749.54,1,1959,47.722,4,,14,6
5244,HISPANIC,MALE,88362.97,8,1960,46.534,4,78099.88,16,6
5245,HISPANIC,MALE,344973.4,2,1962,70.64,4,43590.63,20,6
5246,HISPANIC,FEMALE,35345.19,10,1963,46.743,4,43590.63,15,6
5247,"NON-BLACK, NON-HISPANIC",FEMALE,0,2,1961,55.115,4,17073,12,2
5248,"NON-BLACK, NON-HISPANIC",MALE,112662.8,3,1958,38.094,4,42864.12,14,2
5249,"NON-BLACK, NON-HISPANIC",MALE,19881.67,3,1962,56.267,4,54488.29,13,2
5250,"NON-BLACK, NON-HISPANIC",MALE,0,6,1964,88.662,4,54488.29,16,2
5251,"NON-BLACK, NON-HISPANIC",MALE,70690.38,6,1960,15.176,4,94446.37,12,3
5252,"NON-BLACK, NON-HISPANIC",MALE,0,5,1962,38.32,4,108976.6,12,3
5253,"NON-BLACK, NON-HISPANIC",FEMALE,60749.54,12,1963,35.57,4,50855.74,15,2
5254,"NON-BLACK, NON-HISPANIC",MALE,176725.9,1,1964,48.244,4,87181.27,13,4
5255,"NON-BLACK, NON-HISPANIC",FEMALE,46142.04,5,1960,12.777,4,,12,2
5256,"NON-BLACK, NON-HISPANIC",FEMALE,90572.04,1,1963,30.913,4,50855.74,13,4
5257,"NON-BLACK, NON-HISPANIC",MALE,37554.26,1,1958,21.706,4,28333.91,12,5
5258,"NON-BLACK, NON-HISPANIC",FEMALE,41972.41,3,1963,34.971,4,39958.08,12,5
