CASEID,race,sex,earn2009,bmonth,byear,afqt,region_1979,faminc1978,hgc,nsibs79
1,"NON-BLACK, NON-HISPANIC",FEMALE,,9,1958,,1,92194.19,,1
2,"NON-BLACK, NON-HISPANIC",FEMALE,6627.223,1,1959,6.841,1,58120.84,12,8
3,"NON-BLACK, NON-HISPANIC",FEMALE,,8,1961,49.444,1,81332.85,12,3
4,"NON-BLACK, NON-HISPANIC",FEMALE,,8,1962,55.761,1,81332.85,14,3
5,"NON-BLACK, NON-HISPANIC",MALE,,7,1959,96.772,1,,,1
6,"NON-BLACK, NON-HISPANIC",MALE,99739.7,10,1960,99.393,1,,16,1
7,"NON-BLACK, NON-HISPANIC",MALE,0,6,1964,47.412,1,30883.96,12,1
8,"NON-BLACK, NON-HISPANIC",FEMALE,46389.45,7,1958,44.022,1,,12,7
9,"NON-BLACK, NON-HISPANIC",MALE,57435.93,7,1963,59.683,1,61753.39,14,4
10,"NON-BLACK, NON-HISPANIC",FEMALE,,10,1960,30.039,1,12888.3,9,3
11,"NON-BLACK, NON-HISPANIC",MALE,,7,1959,85.347,1,,16,1
12,"NON-BLACK, NON-HISPANIC",FEMALE,,9,1959,89.641,1,83472.42,16,3
13,"NON-BLACK, NON-HISPANIC",MALE,,8,1958,72.313,1,,15,2
14,"NON-BLACK, NON-HISPANIC",FEMALE,104931,10,1963,98.798,1,,17,2
15,"NON-BLACK, NON-HISPANIC",MALE,0,2,1964,82.25999,1,79916.16,16,1
16,"NON-BLACK, NON-HISPANIC",FEMALE,70690.38,10,1958,50.283,1,144575.6,13,3
17,"NON-BLACK, NON-HISPANIC",MALE,55226.86,1,1957,89.669,1,18162.76,13,2
18,"NON-BLACK, NON-HISPANIC",MALE,66272.23,3,1958,95.97701,3,,13,2
19,"NON-BLACK, NON-HISPANIC",FEMALE,0,12,1957,,1,,12,3
20,"NON-BLACK, NON-HISPANIC",FEMALE,,11,1959,67.021,1,177268.6,16,2
21,"NON-BLACK, NON-HISPANIC",FEMALE,344973.4,6,1961,88.416,1,145302.1,16,2
22,"NON-BLACK, NON-HISPANIC",FEMALE,44181.48,1,1963,89.16701,1,65385.95,16,1
23,"NON-BLACK, NON-HISPANIC",MALE,,9,1958,83.214,1,143122.6,,2
24,"NON-BLACK, NON-HISPANIC",MALE,,1,1961,66.029,1,152204,12,2
25,"NON-BLACK, NON-HISPANIC",FEMALE,36184.64,11,1959,51.39,1,,14,1
26,"NON-BLACK, NON-HISPANIC",MALE,104931,9,1962,97.075,1,108976.6,,2
27,"NON-BLACK, NON-HISPANIC",FEMALE,17672.59,5,1960,96.674,1,64786.58,16,1
28,"NON-BLACK, NON-HISPANIC",FEMALE,0,1,1964,92.784,1,,12,1
29,"NON-BLACK, NON-HISPANIC",FEMALE,33136.11,10,1960,25.905,1,63351.72,12,1
30,"NON-BLACK, NON-HISPANIC",FEMALE,0,11,1958,8.528,1,70431.56,12,1
31,HISPANIC,MALE,0,10,1963,,1,18482.43,12,2
32,HISPANIC,FEMALE,82840.28,11,1957,,1,,18,2
33,HISPANIC,MALE,0,5,1962,,1,85364.98,12,2
34,"NON-BLACK, NON-HISPANIC",MALE,33136.11,12,1958,6.069,1,73958.77,13,5
35,"NON-BLACK, NON-HISPANIC",FEMALE,,8,1963,53.046,1,65385.95,13,5
36,"NON-BLACK, NON-HISPANIC",MALE,0,8,1962,,1,76283.61,12,3
37,"NON-BLACK, NON-HISPANIC",FEMALE,48599.63,10,1958,56.29,1,106433.8,12,4
38,"NON-BLACK, NON-HISPANIC",FEMALE,107692.4,8,1962,12.788,1,134404.5,12,4
39,"NON-BLACK, NON-HISPANIC",MALE,66272.23,2,1959,26.851,0,53798.1,12,4
40,"NON-BLACK, NON-HISPANIC",MALE,44181.48,2,1960,38.419,1,18526.02,13,2
41,"NON-BLACK, NON-HISPANIC",MALE,143589.8,4,1962,57.095,1,19979.04,15,3
42,"NON-BLACK, NON-HISPANIC",MALE,53017.78,9,1963,22.326,1,76283.61,12,1
43,"NON-BLACK, NON-HISPANIC",FEMALE,0,6,1961,15.325,0,,12,2
44,"NON-BLACK, NON-HISPANIC",FEMALE,32164.12,4,1961,37.061,1,108976.6,12,4
45,"NON-BLACK, NON-HISPANIC",MALE,,11,1959,50.629,1,42864.12,12,2
46,"NON-BLACK, NON-HISPANIC",FEMALE,,11,1962,78.095,1,101711.5,19,0
47,"NON-BLACK, NON-HISPANIC",MALE,75108.52,2,1959,75.473,1,84958.14,12,1
48,"NON-BLACK, NON-HISPANIC",MALE,,10,1958,24.806,1,10897.66,12,3
49,"NON-BLACK, NON-HISPANIC",FEMALE,60749.54,5,1958,71.226,1,,14,6
50,"NON-BLACK, NON-HISPANIC",FEMALE,54674.59,9,1958,78.742,1,76396.22,12,4
51,"NON-BLACK, NON-HISPANIC",MALE,,1,1963,,1,100258.5,,4
52,"NON-BLACK, NON-HISPANIC",MALE,,9,1958,69.08,1,,,6
53,HISPANIC,MALE,6627.223,3,1963,43.641,1,56834.92,12,3
54,"NON-BLACK, NON-HISPANIC",MALE,44181.48,6,1958,,1,18162.76,10,3
55,"NON-BLACK, NON-HISPANIC",MALE,,11,1958,,1,25427.87,,2
56,"NON-BLACK, NON-HISPANIC",FEMALE,,5,1964,76.02,1,43590.63,,2
57,"NON-BLACK, NON-HISPANIC",FEMALE,67376.77,5,1958,30.83,1,,12,1
58,"NON-BLACK, NON-HISPANIC",FEMALE,107140.1,1,1957,91.625,1,156199.8,17,2
59,"NON-BLACK, NON-HISPANIC",MALE,49925.08,1,1959,98.841,1,167097.4,12,2
60,"NON-BLACK, NON-HISPANIC",MALE,,8,1961,82.98,1,181627.6,12,2
61,"NON-BLACK, NON-HISPANIC",FEMALE,0,9,1962,99.15,1,116241.7,14,3
62,"NON-BLACK, NON-HISPANIC",FEMALE,50808.71,7,1964,36.384,1,116241.7,12,3
63,"NON-BLACK, NON-HISPANIC",MALE,154635.2,2,1960,87.934,1,119874.2,16,3
64,"NON-BLACK, NON-HISPANIC",MALE,,9,1961,92.989,1,134404.5,,3
65,"NON-BLACK, NON-HISPANIC",FEMALE,,10,1963,75.171,1,134404.5,,3
66,"NON-BLACK, NON-HISPANIC",MALE,,1,1964,22.649,1,,14,3
67,"NON-BLACK, NON-HISPANIC",MALE,344973.4,1,1958,93.246,1,,18,1
68,"NON-BLACK, NON-HISPANIC",FEMALE,0,3,1962,,1,145302.1,16,1
69,"NON-BLACK, NON-HISPANIC",MALE,161262.4,7,1964,86.703,1,145302.1,18,1
70,"NON-BLACK, NON-HISPANIC",MALE,44181.48,3,1961,,1,,18,1
71,"NON-BLACK, NON-HISPANIC",MALE,,5,1963,98.077,1,,19,1
72,"NON-BLACK, NON-HISPANIC",FEMALE,49704.17,12,1959,80.53799,3,,16,2
73,"NON-BLACK, NON-HISPANIC",MALE,121499.1,11,1963,81.52701,1,,18,2
74,"NON-BLACK, NON-HISPANIC",FEMALE,,11,1959,95.536,1,,16,3
75,"NON-BLACK, NON-HISPANIC",FEMALE,93885.66,3,1962,83.379,1,,16,3
76,"NON-BLACK, NON-HISPANIC",MALE,77317.59,2,1964,42.78,1,,14,3
77,"NON-BLACK, NON-HISPANIC",FEMALE,121499.1,5,1964,96.83501,1,,16,1
78,"NON-BLACK, NON-HISPANIC",FEMALE,,4,1957,85.347,1,113698.9,16,2
79,"NON-BLACK, NON-HISPANIC",MALE,,4,1960,96.084,1,,18,2
80,"NON-BLACK, NON-HISPANIC",MALE,35345.19,6,1963,78.759,1,,16,5
81,"NON-BLACK, NON-HISPANIC",MALE,,9,1964,29.497,1,,19,5
82,BLACK,MALE,,9,1958,2.168,1,,12,6
83,BLACK,MALE,0,7,1960,2.366,1,81463.63,10,3
84,BLACK,MALE,0,4,1963,21.008,1,81463.63,12,3
85,BLACK,MALE,0,6,1959,2.427,0,39987.14,,7
86,BLACK,FEMALE,,10,1960,7.198,1,,9,7
87,BLACK,MALE,28727.9,4,1963,12.463,1,45316.09,12,7
88,BLACK,MALE,33136.11,4,1957,80.798,1,,16,1
89,BLACK,FEMALE,,3,1959,84.98,1,,16,8
90,"NON-BLACK, NON-HISPANIC",MALE,141380.8,9,1958,80.298,1,,16,2
91,"NON-BLACK, NON-HISPANIC",FEMALE,33136.11,7,1963,22.823,1,,12,2
92,"NON-BLACK, NON-HISPANIC",FEMALE,28651.69,8,1962,44.375,1,,12,1
93,"NON-BLACK, NON-HISPANIC",MALE,93885.66,6,1964,28.438,1,29060.42,12,1
94,"NON-BLACK, NON-HISPANIC",MALE,48599.63,2,1957,,1,79189.65,10,2
95,"NON-BLACK, NON-HISPANIC",FEMALE,50808.71,7,1960,34.573,1,76283.61,12,2
96,"NON-BLACK, NON-HISPANIC",FEMALE,59092.73,6,1961,36.772,1,,12,2
97,"NON-BLACK, NON-HISPANIC",FEMALE,57435.93,2,1958,59.411,1,,12,7
98,"NON-BLACK, NON-HISPANIC",FEMALE,0,9,1957,69.552,1,,13,2
99,"NON-BLACK, NON-HISPANIC",FEMALE,38658.8,9,1957,,1,52672.02,14,1
100,"NON-BLACK, NON-HISPANIC",FEMALE,88362.97,10,1963,40.421,1,21446.59,12,2
101,"NON-BLACK, NON-HISPANIC",MALE,123708.2,9,1958,87.368,1,35235.76,19,1
102,"NON-BLACK, NON-HISPANIC",FEMALE,,8,1964,56.649,1,54488.29,16,1
103,"NON-BLACK, NON-HISPANIC",MALE,78422.13,5,1958,76.421,1,52308.76,18,2
104,"NON-BLACK, NON-HISPANIC",FEMALE,,6,1958,48.175,1,,12,0
105,"NON-BLACK, NON-HISPANIC",FEMALE,57435.93,9,1958,81.787,1,58120.84,12,0
106,"NON-BLACK, NON-HISPANIC",MALE,121499.1,1,1961,87.65099,1,29786.93,16,1
107,"NON-BLACK, NON-HISPANIC",MALE,56331.39,2,1962,65.347,1,90813.81,16,2
108,"NON-BLACK, NON-HISPANIC",MALE,71794.91,7,1958,96.818,1,80642.66,20,2
109,"NON-BLACK, NON-HISPANIC",FEMALE,,4,1962,57.445,1,65385.95,12,2
110,"NON-BLACK, NON-HISPANIC",MALE,103826.5,5,1957,64.697,1,,13,3
111,"NON-BLACK, NON-HISPANIC",FEMALE,41972.41,6,1959,46.195,1,,12,3
112,"NON-BLACK, NON-HISPANIC",FEMALE,17672.59,9,1963,39.529,0,,11,3
113,"NON-BLACK, NON-HISPANIC",MALE,,1,1963,64.537,1,,,3
114,"NON-BLACK, NON-HISPANIC",MALE,,1,1957,75.984,1,,,3
115,"NON-BLACK, NON-HISPANIC",FEMALE,,8,1960,85.492,1,178053.2,,2
116,"NON-BLACK, NON-HISPANIC",FEMALE,,12,1963,62.654,1,189982.5,,2
117,"NON-BLACK, NON-HISPANIC",MALE,33136.11,9,1959,98.349,1,,15,2
118,"NON-BLACK, NON-HISPANIC",FEMALE,,10,1961,29.212,1,50855.74,9,2
119,"NON-BLACK, NON-HISPANIC",MALE,0,5,1957,27.671,1,17799.51,16,2
120,"NON-BLACK, NON-HISPANIC",MALE,121499.1,3,1962,97.847,1,217953.2,16,2
121,"NON-BLACK, NON-HISPANIC",FEMALE,53017.78,9,1964,92.618,1,217953.2,17,2
122,"NON-BLACK, NON-HISPANIC",MALE,27613.43,11,1961,52.132,1,43590.63,12,1
123,"NON-BLACK, NON-HISPANIC",MALE,,7,1962,92.20399,1,,16,1
124,"NON-BLACK, NON-HISPANIC",FEMALE,0,3,1961,40.114,1,,15,7
125,"NON-BLACK, NON-HISPANIC",MALE,,2,1957,32.107,1,94446.37,13,7
126,"NON-BLACK, NON-HISPANIC",MALE,49704.17,12,1958,67.259,0,107523.6,14,7
127,"NON-BLACK, NON-HISPANIC",MALE,,3,1960,36.287,1,53035.27,12,1
128,"NON-BLACK, NON-HISPANIC",FEMALE,87589.79,7,1958,59.846,1,,12,
129,"NON-BLACK, NON-HISPANIC",MALE,127021.8,9,1960,92.817,1,162011.9,16,3
130,"NON-BLACK, NON-HISPANIC",FEMALE,,10,1959,,1,,,7
131,"NON-BLACK, NON-HISPANIC",FEMALE,,4,1960,,1,,,10
132,"NON-BLACK, NON-HISPANIC",FEMALE,,9,1959,,1,,,5
133,"NON-BLACK, NON-HISPANIC",FEMALE,,12,1962,57.983,1,90813.81,12,4
134,"NON-BLACK, NON-HISPANIC",MALE,88362.97,6,1961,47.098,1,,12,5
135,"NON-BLACK, NON-HISPANIC",MALE,99408.34,8,1964,38.315,1,,16,5
136,"NON-BLACK, NON-HISPANIC",FEMALE,0,10,1957,5.875,0,,12,1
137,"NON-BLACK, NON-HISPANIC",FEMALE,344973.4,7,1961,87.283,1,145302.1,16,4
138,"NON-BLACK, NON-HISPANIC",FEMALE,3865.88,11,1962,88.326,1,145302.1,16,4
139,"NON-BLACK, NON-HISPANIC",MALE,55226.86,12,1963,79.832,1,145302.1,,4
140,"NON-BLACK, NON-HISPANIC",FEMALE,88362.97,9,1958,72.878,1,127139.3,17,1
141,"NON-BLACK, NON-HISPANIC",FEMALE,62406.34,7,1962,85.86099,1,105344,18,2
142,"NON-BLACK, NON-HISPANIC",MALE,66272.23,1,1960,,1,34509.25,12,3
143,"NON-BLACK, NON-HISPANIC",FEMALE,86153.89,6,1961,59.838,1,61753.39,12,3
144,"NON-BLACK, NON-HISPANIC",FEMALE,15463.52,7,1964,37.874,1,61753.39,12,3
145,"NON-BLACK, NON-HISPANIC",MALE,17672.59,8,1962,62.607,1,43590.63,12,3
146,"NON-BLACK, NON-HISPANIC",MALE,99408.34,1,1964,86.932,1,43590.63,12,3
147,"NON-BLACK, NON-HISPANIC",FEMALE,13254.45,6,1961,22.466,1,79916.16,14,0
148,"NON-BLACK, NON-HISPANIC",MALE,47495.09,3,1963,74.997,1,79916.16,12,2
149,"NON-BLACK, NON-HISPANIC",FEMALE,115976.4,2,1964,39.973,1,79916.16,12,2
150,"NON-BLACK, NON-HISPANIC",MALE,552.2686,9,1959,38.129,1,111519.4,12,0
151,"NON-BLACK, NON-HISPANIC",FEMALE,,12,1957,28.478,1,101711.5,12,2
152,"NON-BLACK, NON-HISPANIC",FEMALE,114871.9,10,1961,93.332,1,127139.3,12,2
153,"NON-BLACK, NON-HISPANIC",FEMALE,0,1,1963,,1,90813.81,12,2
154,"NON-BLACK, NON-HISPANIC",FEMALE,,9,1964,,1,90813.81,,2
155,"NON-BLACK, NON-HISPANIC",MALE,59645,10,1963,47.003,1,65385.95,9,3
156,"NON-BLACK, NON-HISPANIC",MALE,0,12,1957,4.975,1,0,11,4
157,"NON-BLACK, NON-HISPANIC",FEMALE,132544.5,4,1962,43.873,1,127139.3,15,2
158,"NON-BLACK, NON-HISPANIC",FEMALE,,9,1958,85.206,1,108976.6,16,2
159,"NON-BLACK, NON-HISPANIC",FEMALE,,4,1960,89.686,1,113698.9,16,2
160,"NON-BLACK, NON-HISPANIC",FEMALE,74003.98,2,1960,77.44,1,50674.11,14,3
161,"NON-BLACK, NON-HISPANIC",FEMALE,45286.02,3,1961,47.296,1,61753.39,12,3
162,"NON-BLACK, NON-HISPANIC",MALE,,4,1961,98.25301,1,87181.27,17,2
163,"NON-BLACK, NON-HISPANIC",MALE,,4,1962,86.427,1,87181.27,,2
164,"NON-BLACK, NON-HISPANIC",FEMALE,,3,1960,22.24,1,,12,3
165,"NON-BLACK, NON-HISPANIC",FEMALE,46390.56,10,1960,46.506,1,65385.95,12,3
166,"NON-BLACK, NON-HISPANIC",MALE,,2,1962,58.432,1,72651.05,13,3
167,"NON-BLACK, NON-HISPANIC",FEMALE,,2,1960,33.598,1,,12,4
168,BLACK,MALE,0,4,1961,19.981,1,14072.51,,4
169,BLACK,FEMALE,0,2,1963,18.862,1,14072.51,,4
170,"NON-BLACK, NON-HISPANIC",FEMALE,,1,1957,,1,,14,1
171,"NON-BLACK, NON-HISPANIC",MALE,115976.4,1,1962,82.207,1,,16,0
172,"NON-BLACK, NON-HISPANIC",FEMALE,0,8,1957,1.23,1,,9,9
173,"NON-BLACK, NON-HISPANIC",MALE,,10,1962,71.044,1,18162.76,,2
174,HISPANIC,FEMALE,49704.17,6,1960,47.279,1,101711.5,13,1
175,"NON-BLACK, NON-HISPANIC",FEMALE,22090.74,10,1957,,4,,14,2
176,"NON-BLACK, NON-HISPANIC",FEMALE,,9,1959,82.495,1,,,2
177,"NON-BLACK, NON-HISPANIC",MALE,0,7,1960,51.881,3,28744.39,,2
178,"NON-BLACK, NON-HISPANIC",MALE,344973.4,5,1958,77.068,1,,14,2
179,"NON-BLACK, NON-HISPANIC",FEMALE,33136.11,8,1958,30.455,1,12350.68,12,2
180,"NON-BLACK, NON-HISPANIC",FEMALE,,3,1957,88.334,1,,16,4
181,"NON-BLACK, NON-HISPANIC",MALE,82840.28,7,1958,,1,-1816.273,,1
182,"NON-BLACK, NON-HISPANIC",MALE,0,8,1964,,1,43590.63,,1
183,"NON-BLACK, NON-HISPANIC",FEMALE,37554.26,11,1958,49.623,1,59221.51,12,3
184,"NON-BLACK, NON-HISPANIC",FEMALE,38845.46,1,1961,59.078,1,79189.65,16,3
185,"NON-BLACK, NON-HISPANIC",MALE,61854.08,10,1964,77.155,1,83548.71,12,3
186,"NON-BLACK, NON-HISPANIC",FEMALE,101617.4,4,1959,81.515,1,95347.24,18,2
187,"NON-BLACK, NON-HISPANIC",MALE,,6,1964,58.788,1,108976.6,15,2
188,"NON-BLACK, NON-HISPANIC",FEMALE,,1,1959,11.983,1,66838.97,10,1
189,"NON-BLACK, NON-HISPANIC",MALE,143589.8,6,1958,59.286,1,,16,2
190,"NON-BLACK, NON-HISPANIC",FEMALE,113767.3,7,1961,73.636,1,94446.37,18,2
191,"NON-BLACK, NON-HISPANIC",MALE,132544.5,8,1963,89.27,1,94446.37,19,2
192,"NON-BLACK, NON-HISPANIC",FEMALE,,6,1963,80.48,1,72651.05,16,1
193,"NON-BLACK, NON-HISPANIC",MALE,138067.1,2,1958,45.527,1,92266.84,16,1
194,"NON-BLACK, NON-HISPANIC",MALE,,6,1964,68.738,1,101711.5,,1
195,"NON-BLACK, NON-HISPANIC",MALE,55226.86,5,1959,87.91701,1,105344,18,1
196,"NON-BLACK, NON-HISPANIC",MALE,,7,1964,95.117,1,254278.7,18,1
197,"NON-BLACK, NON-HISPANIC",FEMALE,,9,1962,17.107,1,90813.81,12,3
198,"NON-BLACK, NON-HISPANIC",MALE,154635.2,6,1963,64.239,1,108976.6,18,1
199,"NON-BLACK, NON-HISPANIC",MALE,49704.17,3,1959,19.225,1,217953.2,12,2
200,"NON-BLACK, NON-HISPANIC",FEMALE,44181.48,9,1958,27.551,1,,12,2
201,"NON-BLACK, NON-HISPANIC",MALE,22090.74,6,1957,86.603,1,147844.9,16,1
202,"NON-BLACK, NON-HISPANIC",MALE,9940.834,11,1960,73.184,1,,14,1
203,HISPANIC,FEMALE,,1,1958,13.97,1,16902.27,13,1
204,HISPANIC,FEMALE,44181.48,3,1957,17.136,1,,11,5
205,HISPANIC,FEMALE,0,4,1957,5.082,1,,12,4
206,"NON-BLACK, NON-HISPANIC",MALE,,8,1962,26.44,1,47223.18,,2
207,"NON-BLACK, NON-HISPANIC",MALE,39763.34,9,1962,25.802,1,47223.18,9,2
208,"NON-BLACK, NON-HISPANIC",FEMALE,,8,1958,10.352,1,,12,3
209,"NON-BLACK, NON-HISPANIC",MALE,,5,1960,49.08,1,156199.8,11,2
210,"NON-BLACK, NON-HISPANIC",MALE,71794.91,12,1962,59.04,1,72651.05,16,2
211,"NON-BLACK, NON-HISPANIC",FEMALE,0,1,1964,74.988,1,72651.05,16,2
212,"NON-BLACK, NON-HISPANIC",MALE,110453.7,3,1961,57.814,1,,12,3
213,"NON-BLACK, NON-HISPANIC",MALE,,12,1962,99.46,1,,16,3
214,"NON-BLACK, NON-HISPANIC",MALE,173412.3,6,1964,79.883,1,,15,3
215,"NON-BLACK, NON-HISPANIC",MALE,,7,1960,66.226,1,103527.8,,2
216,"NON-BLACK, NON-HISPANIC",FEMALE,2209.074,8,1960,,1,73373.93,13,2
217,"NON-BLACK, NON-HISPANIC",MALE,,3,1962,,1,,,2
218,"NON-BLACK, NON-HISPANIC",MALE,344973.4,6,1957,81.447,1,37415.29,16,2
219,"NON-BLACK, NON-HISPANIC",FEMALE,128446.6,7,1959,60.012,1,197247.6,20,1
220,"NON-BLACK, NON-HISPANIC",FEMALE,121499.1,5,1961,89.381,1,199790.4,20,1
221,BLACK,FEMALE,0,8,1964,5.315,1,30513.44,10,6
222,BLACK,MALE,0,7,1961,0.787,1,31239.95,9,6
223,BLACK,MALE,64063.15,12,1962,9.190001,1,32329.72,9,6
224,BLACK,FEMALE,12149.91,5,1960,13.326,1,30513.44,12,6
225,HISPANIC,MALE,,2,1961,2.604,1,33259.65,12,3
226,HISPANIC,MALE,,6,1963,25.781,1,33259.65,,3
227,BLACK,FEMALE,27613.43,9,1957,6.599,1,,12,4
228,HISPANIC,FEMALE,5301.778,11,1957,2.739,1,30695.07,9,4
229,"NON-BLACK, NON-HISPANIC",FEMALE,24299.82,2,1963,52.042,1,,11,1
230,"NON-BLACK, NON-HISPANIC",MALE,85049.36,9,1964,34.084,1,69018.5,15,2
231,"NON-BLACK, NON-HISPANIC",FEMALE,53017.78,6,1957,36.443,1,71924.54,12,3
232,"NON-BLACK, NON-HISPANIC",MALE,44181.48,10,1961,55.78,1,105344,14,3
233,"NON-BLACK, NON-HISPANIC",MALE,60749.54,4,1964,31.472,1,105344,12,3
234,"NON-BLACK, NON-HISPANIC",MALE,82840.28,6,1961,35.461,1,18162.76,12,7
235,"NON-BLACK, NON-HISPANIC",MALE,13254.45,3,1963,61.313,1,58120.84,15,3
236,"NON-BLACK, NON-HISPANIC",FEMALE,55226.86,12,1961,71.673,1,108976.6,13,1
237,"NON-BLACK, NON-HISPANIC",FEMALE,0,8,1957,64.751,3,,12,4
238,"NON-BLACK, NON-HISPANIC",FEMALE,,6,1957,,1,39958.08,,6
239,"NON-BLACK, NON-HISPANIC",FEMALE,19881.67,1,1961,13.294,1,,10,7
240,"NON-BLACK, NON-HISPANIC",FEMALE,35345.19,8,1962,50.483,1,36325.53,12,6
241,"NON-BLACK, NON-HISPANIC",MALE,,3,1964,22.027,1,36325.53,,6
242,"NON-BLACK, NON-HISPANIC",FEMALE,108244.6,11,1958,30.481,1,,12,2
243,"NON-BLACK, NON-HISPANIC",MALE,119290,4,1958,62.957,1,,12,3
244,"NON-BLACK, NON-HISPANIC",FEMALE,12149.91,5,1957,73.828,1,,12,4
245,"NON-BLACK, NON-HISPANIC",FEMALE,36449.72,8,1962,81.929,1,54488.29,14,3
246,"NON-BLACK, NON-HISPANIC",MALE,,2,1964,82.91299,1,54488.29,17,3
247,"NON-BLACK, NON-HISPANIC",MALE,138067.1,1,1959,52.544,1,5448.829,19,4
248,"NON-BLACK, NON-HISPANIC",MALE,19881.67,4,1961,8.261,1,25427.87,12,4
249,"NON-BLACK, NON-HISPANIC",FEMALE,11045.37,2,1963,45.311,1,25427.87,17,4
250,"NON-BLACK, NON-HISPANIC",FEMALE,66272.23,6,1958,,1,18453.37,12,1
251,"NON-BLACK, NON-HISPANIC",MALE,0,12,1962,,1,21795.32,12,2
252,"NON-BLACK, NON-HISPANIC",FEMALE,7731.76,3,1964,,1,21795.32,12,2
253,"NON-BLACK, NON-HISPANIC",MALE,28717.96,6,1964,34.745,1,50855.74,11,2
254,"NON-BLACK, NON-HISPANIC",FEMALE,44181.48,6,1961,94.821,1,,12,4
255,"NON-BLACK, NON-HISPANIC",FEMALE,6627.223,6,1962,46.148,1,79916.16,12,4
256,"NON-BLACK, NON-HISPANIC",FEMALE,0,10,1961,56.308,1,65385.95,13,2
257,"NON-BLACK, NON-HISPANIC",MALE,8836.297,6,1964,58.214,1,65385.95,12,2
258,"NON-BLACK, NON-HISPANIC",FEMALE,0,1,1958,76.189,0,,14,3
259,"NON-BLACK, NON-HISPANIC",MALE,30927.04,1,1959,56.348,1,,12,2
260,"NON-BLACK, NON-HISPANIC",MALE,69585.84,2,1961,83.227,1,94628,14,3
261,"NON-BLACK, NON-HISPANIC",MALE,104931,1,1963,73.36,1,98078.92,14,3
262,"NON-BLACK, NON-HISPANIC",FEMALE,,6,1960,33.669,1,53761.78,12,4
263,"NON-BLACK, NON-HISPANIC",MALE,,1,1962,49.339,1,76283.61,,4
264,"NON-BLACK, NON-HISPANIC",FEMALE,,8,1961,93.397,3,,16,2
265,"NON-BLACK, NON-HISPANIC",FEMALE,16568.06,9,1962,96.501,1,138037,16,0
266,"NON-BLACK, NON-HISPANIC",MALE,,8,1961,,1,33419.48,,2
267,"NON-BLACK, NON-HISPANIC",MALE,0,4,1958,23.365,1,47223.19,,2
268,"NON-BLACK, NON-HISPANIC",MALE,0,7,1958,49.643,0,30876.7,12,4
269,"NON-BLACK, NON-HISPANIC",MALE,344973.4,5,1959,83.698,1,17073,16,0
270,"NON-BLACK, NON-HISPANIC",MALE,,2,1962,77.208,1,,12,3
271,"NON-BLACK, NON-HISPANIC",FEMALE,,4,1964,53.793,1,,20,3
272,"NON-BLACK, NON-HISPANIC",FEMALE,0,2,1957,94.116,1,47295.84,16,6
273,"NON-BLACK, NON-HISPANIC",MALE,64063.15,6,1959,64.372,1,33993.43,15,6
274,"NON-BLACK, NON-HISPANIC",MALE,9940.834,9,1960,88.343,1,17436.25,13,6
275,"NON-BLACK, NON-HISPANIC",FEMALE,88362.97,2,1963,72.963,1,21068.8,14,6
276,"NON-BLACK, NON-HISPANIC",FEMALE,,10,1961,48.015,1,65385.95,12,1
277,"NON-BLACK, NON-HISPANIC",MALE,30927.04,8,1959,32.567,1,,12,2
278,"NON-BLACK, NON-HISPANIC",FEMALE,1104.537,7,1960,51.427,1,27244.14,13,2
279,"NON-BLACK, NON-HISPANIC",MALE,81735.74,8,1962,59.272,1,90813.81,12,1
280,"NON-BLACK, NON-HISPANIC",FEMALE,,3,1959,89.706,1,,18,2
281,"NON-BLACK, NON-HISPANIC",MALE,127021.8,7,1961,72.769,1,90813.81,18,3
282,"NON-BLACK, NON-HISPANIC",FEMALE,30927.04,8,1963,85.4,1,90813.81,16,3
283,HISPANIC,MALE,88362.97,6,1958,15.136,1,54488.29,12,6
284,HISPANIC,MALE,103826.5,1,1960,44.708,1,76283.61,12,5
285,HISPANIC,FEMALE,53017.78,4,1961,15.448,1,105344,10,5
286,HISPANIC,FEMALE,70690.38,3,1964,62.147,1,47223.18,14,5
287,"NON-BLACK, NON-HISPANIC",FEMALE,35345.19,12,1958,22.699,1,,12,3
288,"NON-BLACK, NON-HISPANIC",FEMALE,24299.82,8,1961,15.312,1,,12,4
289,"NON-BLACK, NON-HISPANIC",FEMALE,0,9,1962,28.861,1,,12,4
290,HISPANIC,FEMALE,16568.06,2,1960,11.136,1,54996.84,10,11
291,BLACK,MALE,3114.795,2,1959,42.445,1,10897.66,12,1
292,"NON-BLACK, NON-HISPANIC",FEMALE,65167.69,3,1957,92.22299,1,,18,2
293,"NON-BLACK, NON-HISPANIC",FEMALE,55226.86,5,1959,91.927,1,,13,2
294,"NON-BLACK, NON-HISPANIC",FEMALE,29822.5,5,1961,62.191,1,72651.05,,3
295,"NON-BLACK, NON-HISPANIC",MALE,,10,1963,29.995,1,50855.74,,1
296,"NON-BLACK, NON-HISPANIC",MALE,48246.18,5,1963,25.28,1,69018.5,12,10
297,"NON-BLACK, NON-HISPANIC",FEMALE,55226.86,8,1957,68.168,1,,12,2
298,HISPANIC,FEMALE,,1,1964,13.483,1,17697.8,12,4
299,HISPANIC,MALE,0,12,1962,12.439,1,17697.8,11,4
300,HISPANIC,MALE,,4,1961,2.026,1,14530.21,11,2
301,HISPANIC,MALE,46390.56,5,1961,18.916,1,24701.36,12,5
302,HISPANIC,MALE,22090.74,3,1960,5.281,1,22885.08,12,5
